,account,zip_code,neighborhood_code,acreage,new_owner_date,full_addr,sq_ft
0,21750000003,77002,8400.07,0.0405,2009-10-13 00:00:00.000,"2202 CAROLINE ST HOUSTON, TEXAS 77002",1944.0
1,21750000013,77002,8400.01,0.3099,1995-08-02 00:00:00.000,"2218 CAROLINE ST HOUSTON, TEXAS 77002",2471.0
2,21750000018,77002,8400.07,0.0348,2018-06-29 00:00:00.000,"2204 CAROLINE ST HOUSTON, TEXAS 77002",1944.0
3,21750000019,77002,8400.07,0.0395,2001-01-01 00:00:00.000,"2206 CAROLINE ST HOUSTON, TEXAS 77002",1944.0
4,41320000003,77006,8316.03,0.1378,2014-12-12 00:00:00.000,"105 STRATFORD ST HOUSTON, TEXAS 77006",2576.0
5,41320000004,77006,8316.03,0.4133,2004-10-15 00:00:00.000,"109 STRATFORD ST HOUSTON, TEXAS 77006",12005088.0
6,41320000007,77006,8316.03,0.1705,1992-02-06 00:00:00.000,"2925 HELENA ST HOUSTON, TEXAS 77006",26961008.0
7,41330000001,77006,8316.03,0.1254,2018-03-01 00:00:00.000,"2926 HELENA ST HOUSTON, TEXAS 77006",10002339.0
8,41330000003,77006,8316.03,0.1205,1999-12-30 00:00:00.000,"205 STRATFORD ST HOUSTON, TEXAS 77006",1521.0
9,41330000004,77006,8316.03,0.1205,2014-03-25 00:00:00.000,"207 STRATFORD ST HOUSTON, TEXAS 77006",2364.0
10,41330000008,77006,8316.03,0.1515,2011-08-10 00:00:00.000,"215 STRATFORD ST HOUSTON, TEXAS 77006",12402496.0
11,41330000009,77006,8316.03,0.1515,2008-03-18 00:00:00.000,"217 STRATFORD ST HOUSTON, TEXAS 77006",2857.0
12,41330000012,77006,8316.08,0.0304,2007-05-11 00:00:00.000,"209 STRATFORD ST A HOUSTON, TEXAS 77006",1934.0
13,41330000013,77006,8316.08,0.0283,2016-11-15 00:00:00.000,"209 STRATFORD ST B HOUSTON, TEXAS 77006",1866.0
14,41330000014,77006,8316.08,0.0469,2005-03-22 00:00:00.000,"209 STRATFORD ST C HOUSTON, TEXAS 77006",1862.0
